cust_id,firstName,lastName,address,town,contactNo,dateOfBirth
1,Martin,Kerry,Ballymun Road,Dublin,8756875678,12/21/2006
2,Ewa,Higgins,55 newtown,Longford,85355423,4/19/2000
3,Emon,Cooke,Beamount,Dublin,878102366,4/30/1982
4,Ankita,Sharma,Whitepark Ave,Athlone,859876543,12/12/1993
5,kimberly,Jones,Main St,Roscommon,877897897,12/25/1990
6,Colm,Carter,Cam,Brideswell,864534276,2/14/1988
7,Barbara,Hayden,Kilcolgan,Galway,869191919,5/20/1992
8,Markus,Henry,Main St,Roscommon,862867677,11/25/1992
9,Declan,Dunne,Cam,Dublin,876549545,5/14/2002
10,Helen,Penny,retreat rd,Kildare,896534587,11/19/1991
11,Divya,Sharma,ballymahon,Cavan,8764567560,2/20/1992
12,paul,Dunne,Church street,Monaghan,864844550,5/8/1989
13,Richie,Lignel,willow park,Athlone,8681982309,3/27/1986
